GAME_ID,DATE,HOME,FG_PCT_HOME,FG3_PCT_HOME,FT_PCT_HOME,PLUS_MINUS_HOME,EFF_HOME,ODDS_HOME,AWAY,FG_PCT_AWAY,FG3_PCT_AWAY,FT_PCT_AWAY,PLUS_MINUS_AWAY,EFF_AWAY,ODDS_AWAY,WIN
0042100406,20220616,GoldenStateWarriors,0.4765625,0.36168749999999994,0.7875624999999999,2.6875,130.6875,2.55,BostonCeltics,0.4455,0.36833333333333335,0.7901666666666666,5.555555555555555,122.33333333333333,1.57,H
0042100405,20220613,BostonCeltics,0.44741176470588234,0.369764705882353,0.7968235294117647,6.470588235294118,124.17647058823529,2.45,GoldenStateWarriors,0.4772666666666667,0.37079999999999996,0.7822666666666668,2.2,131.26666666666668,1.61,A
0042100404,20220610,GoldenStateWarriors,0.4799285714285714,0.3723571428571429,0.781,1.6428571428571428,131.57142857142858,2.45,BostonCeltics,0.45037499999999997,0.3681875,0.8005625,7.5,125.4375,1.61,H
0042100403,20220608,GoldenStateWarriors,0.48130769230769227,0.37215384615384617,0.7743846153846156,3.0,133.6153846153846,2.35,BostonCeltics,0.44820000000000004,0.36800000000000005,0.8067333333333333,6.933333333333334,124.46666666666667,1.65,A
0042100401,20220602,BostonCeltics,0.4440714285714286,0.3577142857142857,0.8062857142857143,6.571428571428571,122.78571428571429,2.45,GoldenStateWarriors,0.4845,0.36799999999999994,0.7778333333333335,4.25,134.91666666666666,1.61,H
0042100307,20220529,BostonCeltics,0.4465384615384615,0.35876923076923084,0.8073846153846153,6.769230769230769,123.38461538461539,1.67,MiamiHeat,0.441,0.312,0.8154166666666667,1.0833333333333333,113.5,2.3,H
0042100306,20220527,MiamiHeat,0.4390909090909091,0.3013636363636364,0.8022727272727272,0.45454545454545453,112.45454545454545,4.3,BostonCeltics,0.44675000000000004,0.3609166666666667,0.7994166666666667,8.0,124.25,1.25,H
0042100315,20220526,DallasMavericks,0.4504166666666667,0.38375000000000004,0.77825,-0.75,112.0,3.4,GoldenStateWarriors,0.48209090909090907,0.3660909090909091,0.7576363636363638,3.727272727272727,132.36363636363637,1.36,A
0042100305,20220525,BostonCeltics,0.4450909090909091,0.3661818181818182,0.8049090909090908,7.545454545454546,125.0,1.61,MiamiHeat,0.4511,0.3159,0.7896,1.8,116.2,2.45,H
0042100314,20220524,GoldenStateWarriors,0.48149999999999993,0.367,0.768,5.1,133.0,2.05,DallasMavericks,0.4459090909090909,0.3763636363636364,0.7787272727272728,-1.7272727272727273,108.54545454545455,1.8,A
0042100304,20220523,MiamiHeat,0.4642222222222222,0.30777777777777776,0.8138888888888889,4.222222222222222,120.88888888888889,3.25,BostonCeltics,0.4499000000000001,0.37929999999999997,0.8012,6.3,123.9,1.38,A
0042100313,20220522,GoldenStateWarriors,0.4828888888888889,0.3695555555555556,0.7555555555555556,4.666666666666667,132.88888888888889,2.45,DallasMavericks,0.4505,0.38510000000000005,0.7771999999999999,-1.0,109.6,1.61,H
0042100303,20220521,MiamiHeat,0.46387500000000004,0.304625,0.8085,4.0,119.875,3.1,BostonCeltics,0.4458888888888889,0.37977777777777777,0.8049999999999999,7.666666666666667,125.33333333333333,1.4,H
0042100312,20220520,DallasMavericks,0.44788888888888884,0.376,0.7792222222222223,-0.1111111111111111,108.33333333333333,3.1,GoldenStateWarriors,0.473125,0.35324999999999995,0.75,4.125,130.25,1.4,A
0042100302,20220519,BostonCeltics,0.43762500000000004,0.36475,0.7915000000000001,5.5,121.375,1.95,MiamiHeat,0.467,0.30614285714285716,0.8201428571428571,8.142857142857142,122.14285714285714,1.87,H
0042100311,20220518,DallasMavericks,0.45887500000000003,0.39437500000000003,0.79325,3.0,113.25,3.0,GoldenStateWarriors,0.4605714285714286,0.3544285714285714,0.7678571428571431,1.1428571428571428,128.14285714285714,1.42,A
0042100301,20220517,BostonCeltics,0.43500000000000005,0.37057142857142855,0.7974285714285714,7.857142857142857,122.14285714285714,2.75,MiamiHeat,0.4635,0.3016666666666667,0.8098333333333333,7.666666666666667,119.16666666666667,1.5,A
0042100227,20220515,DallasMavericks,0.44328571428571434,0.38114285714285717,0.7637142857142856,-1.2857142857142858,108.14285714285714,3.4,PhoenixSuns,0.5074285714285715,0.4064285714285715,0.8647142857142857,2.4285714285714284,127.0,1.36,H
0042100217,20220515,MilwaukeeBucks,0.42333333333333334,0.30116666666666664,0.7778333333333333,-4.5,110.33333333333333,3.0,BostonCeltics,0.43750000000000006,0.36566666666666675,0.8099999999999999,4.5,120.83333333333333,1.42,A
0042100236,20220513,MemphisGrizzlies,0.4366666666666666,0.37466666666666665,0.7648333333333333,3.0,131.33333333333334,4.2,GoldenStateWarriors,0.47166666666666673,0.3506666666666667,0.7746666666666666,-1.0,127.16666666666667,1.26,A
0042100216,20220513,BostonCeltics,0.43760000000000004,0.3598,0.8416,2.8,121.2,2.05,MilwaukeeBucks,0.42619999999999997,0.31320000000000003,0.7556,-2.8,111.8,1.8,H
0042100206,20220512,MiamiHeat,0.4596,0.312,0.8263999999999999,7.4,119.0,2.2,Philadelphia76ers,0.4748333333333334,0.349,0.8805,-0.3333333333333333,116.33333333333333,1.71,H
0042100226,20220512,PhoenixSuns,0.5258333333333333,0.4186666666666667,0.866,7.333333333333333,134.5,1.77,DallasMavericks,0.44133333333333336,0.37633333333333335,0.7659999999999999,-6.0,104.0,2.1,A
0042100215,20220511,MilwaukeeBucks,0.424,0.2795,0.742,-4.25,109.25,2.8,BostonCeltics,0.419,0.369,0.83525,4.25,119.25,1.48,H
